,コード,株数,純資産比率
127,5714.0,1933800.0,0.0011796759461821
128,4042.0,4834500.0,0.0011727955456476
129,1802.0,9669000.0,0.0011421464887213
130,9008.0,1933800.0,0.0010770954291227
131,8804.0,4834500.0,0.001072716992419
132,9007.0,4834500.0,0.0010639601190115
133,5101.0,4834500.0,0.0010345620440006
134,5214.0,2900700.0,0.0010241788941031
135,8628.0,9669000.0,0.0010233032067624
136,5803.0,9669000.0,0.0009920286588784
137,1801.0,1933800.0,0.0009632560748252
138,7202.0,4834500.0,0.0009451168370525
139,8355.0,9669000.0,0.0009394874184334
140,9147.0,966900.0,0.0009319815269413
141,6471.0,9669000.0,0.000916969743957
142,9005.0,4834500.0,0.0009144677801263
143,8306.0,9669000.0,0.0009128415036363
144,4755.0,9669000.0,0.0009057109067188
145,7205.0,9669000.0,0.0008982050152266
146,1812.0,4834500.0,0.0008669304673427
147,1803.0,9669000.0,0.0008569226120198
148,1605.0,3867600.0,0.000840159454354
149,3402.0,9669000.0,0.0008335292502026
150,3289.0,9669000.0,0.0008306519917973
151,9020.0,966900.0,0.0008273994388174
152,8331.0,9669000.0,0.0008268990460512
153,5631.0,1933800.0,0.0008093852992362
154,8233.0,4834500.0,0.0008006284258287
155,4061.0,1933800.0,0.0007993774439134
156,4183.0,1933800.0,0.0007893695885905
157,8601.0,9669000.0,0.0007828644826307
158,6302.0,1933800.0,0.0007580950407066
159,9001.0,1933800.0,0.0007223169579274
160,3861.0,9669000.0,0.0007093067460076
161,2432.0,2900700.0,0.0007002996762171
162,2501.0,1933800.0,0.0006990486943017
163,7762.0,9669000.0,0.0006892910353619
164,4005.0,9669000.0,0.0006642713970548
165,5020.0,9669000.0,0.0006520117742843
166,1332.0,9669000.0,0.0006517615779012
167,6701.0,966900.0,0.0006517615779012
168,3086.0,4834500.0,0.0006511360869435
169,9602.0,966900.0,0.0006367497949169
170,8604.0,9669000.0,0.0006366246967254
171,9531.0,1933800.0,0.0006282431178925
172,7201.0,9669000.0,0.0006262415468279
173,7011.0,966900.0,0.0006117301566098
174,9532.0,1933800.0,0.00060197249767
175,9021.0,966900.0,0.0005948419007524
176,8354.0,1933800.0,0.0005501818463742
177,7186.0,9669000.0,0.0005441771331805
178,4902.0,9669000.0,0.0005404241874344
179,6674.0,1933800.0,0.0005189072984902
180,8316.0,966900.0,0.0004906351072032
181,8309.0,966900.0,0.0004851307867756
182,4188.0,4834500.0,0.0004792511717734
183,7013.0,966900.0,0.000453480944317
184,5706.0,966900.0,0.0004259593421792
185,4043.0,1933800.0,0.0004188287452616
186,5232.0,966900.0,0.0004003142129143
187,1808.0,1933800.0,0.0003853024299301
188,8795.0,1933800.0,0.0003687894686473
189,5541.0,966900.0,0.0003495243471508
190,8304.0,966900.0,0.0003322607967189
191,3401.0,1933800.0,0.0003315102075697
192,8750.0,966900.0,0.0003294460874093
193,6472.0,9669000.0,0.000329008243739
194,9202.0,966900.0,0.0003179996028838
195,7012.0,966900.0,0.0003151223444785
196,4004.0,966900.0,0.000311494496924
197,4631.0,966900.0,0.0003099933186255
198,5707.0,966900.0,0.0002919791790444
199,5401.0,966900.0,0.0002815334800512
200,1333.0,966900.0,0.0002793442616993
201,7261.0,1933800.0,0.0002724638611648
202,5801.0,966900.0,0.0002695866027595
203,3436.0,966900.0,0.0002623309076504
204,2768.0,966900.0,0.0002550752125413
205,4208.0,966900.0,0.0002479446156238
206,5711.0,966900.0,0.0002476944192407
207,5233.0,966900.0,0.0002408140187063
208,4689.0,3867600.0,0.0002132673969301
209,5411.0,966900.0,0.0001985308299672
210,5703.0,966900.0,0.0001972798480518
211,7004.0,1933800.0,0.0001969045534772
212,8411.0,966900.0,0.0001900241529428
213,9502.0,966900.0,0.0001615017652726
214,9503.0,966900.0,0.0001568731321858
215,3101.0,966900.0,0.0001284758427072
216,3863.0,966900.0,0.0001179675946182
217,6703.0,966900.0,9.38236436518112e-05
218,5406.0,966900.0,8.506677024430882e-05
219,9501.0,966900.0,6.017223012869492e-05
220,8308.0,966900.0,5.985948464985555e-05
221,5202.0,966900.0,4.853809831587033e-05
222,7211.0,966900.0,4.816280374126309e-05
223,7003.0,966900.0,4.516044714440512e-05
224,3103.0,966900.0,2.9398075010900844e-05
